ATIVO;SUBATIVO;PERIODICIDADE (DIAS);LUBRIFICANTE;QTD(G);TIPO;DESCRIÇÃO;ULTIMA (DATA);PRÓXIMA (DATA);ULTIMA (HORAS);PRÓXIMA (HORAS);TIMER (DIAS);STATUS
TANQUE DE MASSA 1;MANCAL 2 AGITADOR 1;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-12;2026-02-27;;360.0;10;🟢 No Prazo
TANQUE DE MASSA 1;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;24.0;-4;🟢 No Prazo
TANQUE DE MASSA 1;MOTOR DA BOMBA;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-02-17;2026-03-04;;360.0; ;🟢 No Prazo
TANQUE DE MASSA 2;MANCAL 1 AGITADOR 2;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-12;2026-02-27;;360.0;10;🟢 No Prazo
TANQUE DE MASSA 2;MANCAL 2 AGITADOR 2;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-12;2026-02-27;;360.0;10;🟢 No Prazo
TANQUE DE MASSA 3;MANCAL 1 AGITADOR 3;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-12;2026-02-27;;360.0;10;🟢 No Prazo
TANQUE DE MASSA 3;MANCAL 2 AGITADOR 3;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-12;2026-02-27;;360.0;10;🟢 No Prazo
TANQUE DE MASSA 3;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;24.0;-4;🟢 No Prazo
TANQUE DE MASSA 3;MOTOR DA BOMBA;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-25;2026-02-09;;360.0; ;🔴 Vencida
TANQUE DE MASSA 4;MANCAL 1 AGITADOR 4;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-12;2026-02-27;;360.0;10;🟢 No Prazo
TANQUE DE MASSA 4;MANCAL 2 AGITADOR 4;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-12;2026-02-27;;360.0;10;🟢 No Prazo
TANQUE DE MASSA 4;BOMBA;1;DTE 26;;ÓLEO;LUBRIFICAÇÃO;2026-02-19;2026-02-20;;24.0;-4;🟢 No Prazo
TANQUE DE MASSA 4;MOTOR DA BOMBA;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-02-17;2026-03-04;;360.0; ;🟢 No Prazo
PULPER;MANCAL 1;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-28;;360.0;10;🟢 No Prazo
